<questão> | <linhas> | <colunas> | <SQL> ,
"1|7|2|select COD_SUBFUNCAO, NOME_SUBFUNCAO from SUBFUNCAO natural join DETALHAMENTO_FUNCAO natural join (select COD_FUNCAO, MAX(QTD_SUBFUNCOES) from (select COD_FUNCAO, count(*) as QTD_SUBFUNCOES from DETALHAMENTO_FUNCAO group by COD_FUNCAO))",
"2|2|3|select VALOR_DESPESA, NOME_FUNCAO, NOME_SUBFUNCAO from FUNCAO natural join SUBFUNCAO natural join DETALHAMENTO_FUNCAO natural join (select COD_DETALHAMENTO, VALOR_DESPESA from DESPESA_PUBLICA where VALOR_DESPESA > 200000)",
"5|3|2|select COD_PROGRAMA_GOVERNO, NOME_PROGRAMA_GOVERNO from PROGRAMA_GOVERNO where COD_PROGRAMA_GOVERNO in (select COD_PROGRAMA_GOVERNO from DESPESA_PUBLICA natural join DETALHAMENTO_FUNCAO natural join FUNCAO where NOME_FUNCAO = 'Educação' and ANO_DESPESA = 2018 group by COD_PROGRAMA_GOVERNO order by sum(VALOR_DESPESA) desc limit 3)",
"6|4|3|select NOME_FUNCAO, NOME_SUBFUNCAO, sum(VALOR_DESPESA) as VALOR_TOTAL from FUNCAO natural join DETALHAMENTO_FUNCAO natural join SUBFUNCAO natural join(select COD_DETALHAMENTO, VALOR_DESPESA from DESPESA_PUBLICA natural join PROGRAMA_GOVERNO where ANO_DESPESA = 2018 and (MES_DESPESA = 7 or MES_DESPESA = 8 or MES_DESPESA = 9) and NOME_PROGRAMA_GOVERNO = 'MAIS MEDICOS') group by NOME_FUNCAO, NOME_SUBFUNCAO",
"7|5|2|select NOME_ORGAO, count(*) from ORGAO natural join DESPESA_PUBLICA natural join PROGRAMA_GOVERNO where VALOR_DESPESA > 0 group by NOME_ORGAO",
"10|56|5|select COD_DESPESA, MES_DESPESA, ANO_DESPESA, MODALIDADE_DESPESA, VALOR_DESPESA from DESPESA_PUBLICA where COD_ORGAO in (select COD_ORGAO from ORGAO natural join DESPESA_PUBLICA group by COD_ORGAO order by sum(VALOR_DESPESA) desc limit 1)",
"12|40|2|select NOME_FUNCAO, NOME_SUBFUNCAO from FUNCAO natural join DETALHAMENTO_FUNCAO natural join SUBFUNCAO",
"13|676|3|select MODALIDADE_DESPESA, VALOR_DESPESA, NOME_PROGRAMA_GOVERNO from PROGRAMA_GOVERNO natural join DESPESA_PUBLICA where MODALIDADE_DESPESA = 'Reserva de Contingência'",
"14|13|2|select NOME_ORGAO, VALOR_DESPESA from DESPESA_PUBLICA natural join ORGAO where NOME_ORGAO = 'Ministério da Fazenda'",
"15|219|2|select NOME_PROGRAMA_GOVERNO, VALOR_DESPESA from ORGAO natural join DESPESA_PUBLICA natural join PROGRAMA_GOVERNO where NOME_ORGAO = 'Ministério da Saúde'",